Gold	Predictions	Probabilities
western europe	[2]	[1.0]	4P-pjmWwwycyRdDN5AZowA
western europe	[2]	[1.0]	vYM3JQaYMMFlSPop4hu7wg
western europe	[11]	[1.0]	x-tUfDgMiZ-jkWCxynJBgQ
western europe	[2]	[1.0]	VD-bvLmde24bux5WmWqAmg
western europe	[2]	[1.0]	wAP62WDK22DAxY5rhQcr8w
western europe	[11]	[0.999998927116394]	7YBsRexuk6KoGit7mo2xrg
western europe	[2]	[1.0]	cxBVkMR-DJorjuxuYwxFWQ
western europe	[2]	[1.0]	XpndlObowjhME7jx5MYTuy
western europe	[5]	[0.9774367809295654]	YzgVK5YOik5fII5OzUp4qw
northern europe	[2]	[1.0]	ltePUtAQv2efAUCC4rrYaw
northern europe	[11]	[0.9996417760848999]	k6tg2yFyNDQY4bCbESu3Ho
western europe	[2]	[0.9999938011169434]	2SBch2xiwc8TB9aGOmq-_g
western europe	[2]	[1.0]	kBIjOIVu5WAMayjFQK8A4w
baltic	[11]	[0.9995657801628113]	fsI6RNttAfQDCslpy0Wsbg
western europe	[2]	[1.0]	vKt7yt83ALZFrH9ISda7lg
baltic	[8]	[1.0]	95sH_A7QvS6g_f_Kzr3ABA
western europe	[2]	[1.0]	Z71NCyJ6jGslBxi_AesolH
northern europe	[2]	[0.9999991655349731]	5f2LeCo6kRH4A4cdtVup7g
western europe	[5]	[1.0]	JRJtgNuFjVEq0AzdCi85bw
western europe	[2]	[1.0]	YqB0Z26xZwe8FmDaGZ3SjD
western europe	[2]	[1.0]	9xRIcs-0f639eVdbfB5j7w
western europe	[2]	[0.9995149374008179]	kYjTAFIldjf8M0xHcvdd5A
western europe	[11]	[1.0]	yGBqHWMUZ4Ms2uUl3tMXxA
western europe	[2]	[0.9999998807907104]	TaQ8FvvTFkrtdiR6MKPF_A
western europe	[2]	[1.0]	Wn52njQUEoabuCj1-zMX-A
northern europe	[11]	[1.0]	1MG3IDNlD3tRJLT1ObM68w
western europe	[10]	[0.9427744150161743]	bcPGij-EowEm-NArm5Wwpw
western europe	[2]	[1.0]	4SnF_PJ-VxdoJ_OC6eSUoQ
baltic	[11]	[1.0]	4YJmfDi3wSpJ8vmzXtUrKw
western europe	[2]	[0.9605963230133057]	EeldreZ9NGGY5atwSE14vw
western europe	[11]	[1.0]	go59eBlGn4VKbtAuAdwktZ
western europe	[2]	[1.0]	1wl0T5OPtwdSGZFlsSPchg
western europe	[5]	[0.6855483055114746]	175B3v255I0JgsevukycSw
western europe	[11]	[1.0]	8azFCAErp9W0X3WN3BzP_g
western europe	[2]	[1.0]	UTPVKDc7jpTdxHZaMege0A
western europe	[2]	[1.0]	WIafUoe5FJ9IDswvWOVVEg
northern europe	[11]	[0.9999994039535522]	Av2fwjhNv7eeKhCdR4BA0w
northern europe	[11]	[0.9991896748542786]	Acx3sqk-bjV2u7C4ug6JgJ
western europe	[2]	[1.0]	2BGlGDyES88qU7wcDWlPIk
northern europe	[11]	[0.9999996423721313]	URYSKZfi2jYBvuy83gb2zo
northern europe	[11]	[1.0]	fhJhTdN1GkObEcSdE2NOXQ
western europe	[2]	[1.0]	VSMuc72Au0z5GCfIUj0K-g
western europe	[11]	[1.0]	1XVb-4ukPx3brdREXFSmjA
western europe	[2]	[1.0]	rdmE5whWuLcPsjyEgJ2kMQ
northern europe	[2]	[1.0]	EmR4yk4s3FfTtGCjgbMfag
western europe	[2]	[0.999895453453064]	UwMDl2fXDluhfz694NwkTQ
western europe	[2]	[1.0]	lRLl4SpSeNlXLU6EexwTig
western europe	[2]	[0.9999997615814209]	hoEN1OeHF2jrB4VhSvi-Bw
western europe	[2]	[1.0]	YD6K1mldw3xleEPGf594Cw
western europe	[2]	[1.0]	2q6-4PKWC-gKdvv18bdOzd
western europe	[2]	[0.9933819770812988]	lWinMo-X2pP-clhEW__BGV
northern europe	[6]	[1.0]	-qX7OXeuKwdAHTqYZa1Siw
western europe	[2]	[1.0]	YrQL1xUMmYdjfT8UBHO7Kw
western europe	[10]	[0.9998117089271545]	dHwk5E-6TH6qjzl_5CA4AQ
western europe	[2]	[1.0]	vrwXXflKvqzmUzB0NFZ7OQ
western europe	[2]	[1.0]	jrJt7qYKL0pJV487VUuruA
western europe	[2]	[1.0]	zSYcMnbzPxAyECwQDQNVYA
western europe	[2]	[1.0]	DztkTTBD-B4KmkkgmrKSCg
western europe	[2]	[1.0]	aoX0qAcYdE4mphZMcce3tB
western europe	[2]	[1.0]	wwjqZWOBcegP0m1nKf09A_
western europe	[11]	[1.0]	YLs80XHeFyvq9mkTYnTxDQ
northern europe	[3]	[0.9998457431793213]	n9VrVDkp-ozjB1WsQdYnNA
western europe	[2]	[1.0]	4_AcKhCV4QGwF6fl2hqmnQ
western europe	[2]	[1.0]	yJVpeEDQJ5yLq8NgguyeXQ
western europe	[5]	[0.9804983139038086]	X-eDByZzmPR-0horoNKhbw
western europe	[2]	[0.9999938011169434]	86_US1ZiXHW8yb1Fdbb8gg
western europe	[2]	[0.9915720224380493]	9tyaK3oVdY4StSWp6vq_qA
western europe	[2]	[1.0]	UTaFmUuOXyugSsu_jL0_tg
europe	[5]	[1.0]	D-ok8lH40Ld_awV77v1tYQ
europe	[5]	[1.0]	2Bcht63kqqwe9-8ouV4vhA
europe	[5]	[1.0]	lv0rt4_Z13I-SMEoUMXzKg
western europe	[5]	[0.9995648264884949]	iOq7cJLawcBTc7j1gY_wMA
europe	[5]	[1.0]	BEY2va2Qa01VI4WJdUDy4A
western europe	[6]	[1.0]	z8Fh6Ktpi2E7g8ClQKM86w
caribbean	[5]	[0.9999884366989136]	z2rrJtQBjprIt7vHWeRxXQ
western europe	[5]	[1.0]	J2_uzycMg6cGVzYsj1WScg
caribbean	[9]	[0.9999995231628418]	rZaexEdGFDuUwckPysojWA
europe	[5]	[1.0]	4AOj4cQSvFDq00YpsOVw3g
caribbean	[5]	[1.0]	28NfA19lGGVWOP8yJ5jIOg
caribbean	[5]	[0.7688323855400085]	6pNCs4ame5jVIe4JXzw50g
europe	[16]	[0.9024834632873535]	jyq9Tq3-cUJ9Wvtd40YMgA
western europe	[8]	[1.0]	jN9i2mjseJ580DSrDHAraA
caribbean	[8]	[0.8985143303871155]	V2jWb0uPt-_nlzY_SXcj5A
southern europe	[7]	[1.0]	Hk2nYUNSM7oZ9AEtPYAbfw
balkan	[10]	[0.9980929493904114]	IUqvIZjPmsv_jwPl71Gp_g
southern africa	[9]	[0.9993711113929749]	WiDNShF98ufxUVHeE7XbhA
europe	[5]	[1.0]	5vnPcEwj5fCxr_Kn2G-eaA
western europe	[5]	[1.0]	XNbYdr_buXMI7oRA5E7PIQ
southern europe	[13]	[0.9994262456893921]	dVQcCwad_7xL-AwRKfGOhA
eastern europe	[2]	[1.0]	AGG2NSmNZ2CMRjxRQxtfxA
oceania	[5]	[0.9999080896377563]	85WaOnQp4aHCTocN1fuILg
southern europe	[13]	[0.9999996423721313]	Bs90VzXqZsRpcZm7AxaL6w
western europe	[5]	[0.9999831914901733]	D2_JfMHyDoq_ectiDBdrqA
southern europe	[5]	[0.9999991655349731]	yJfHNmGOFdVaVNF-jy1qKA
southern europe	[5]	[1.0]	Y4BF6-GU4amY376Bl8fbYA
oceania	[8]	[1.0]	Sd2_HRao_D_Rr_RODyp_4Q
europe	[5]	[1.0]	g15EHlUSt_tY8Am1AW3f0g
western europe	[5]	[1.0]	TjFOE-JHWJrHgt2K1rimvw
western europe	[5]	[1.0]	DwVj9k6_Juz2inA39lXboQ
southern europe	[5]	[1.0]	iC_qQx3_qp61SwbNlTGvcg
western europe	[5]	[1.0]	kegJXFq8zJbmb96MHy4yeg
south america	[5]	[1.0]	_TDXeP5EDzAO-o3-uyYScA
europe	[5]	[1.0]	ncRe_lWDJLe-Fs2erNttiA
western europe	[2]	[1.0]	6B67snwM-tCsQlg6hEB_6A
western europe	[5]	[1.0]	kZ682RkaT7mOOUV2TKxP9Q
western europe	[5]	[1.0]	CBEjtJngqhyiLcKc34sVtQ
western europe	[10]	[1.0]	SemtpTmOvKM-lgpcfFjKbg
western europe	[5]	[1.0]	D7BJt_h-1vJQx72kEM38HQ
western europe	[5]	[1.0]	6RfPdb--tuYjQ25CutRLFg
western europe	[5]	[1.0]	s6vK5hG81Z6yENKIV-Koxg
europe	[5]	[1.0]	3Cyh_agfbU8jgJYujPPHZw
western europe	[5]	[1.0]	AbAsgnkKXJQPmSALlTnrqA
western europe	[10]	[1.0]	24z9uQcsbjAeagAroUn4Iw
southern europe	[5]	[1.0]	ZqvDnMpwAYSgGuUTCfPDxA
europe	[16]	[0.9999988079071045]	e3STiELzpny9foEB858N7w
southern europe	[13]	[1.0]	Auz_dwPEoOVKDN9xOfKN5A
western europe	[5]	[0.926109790802002]	hiscfWRj8pSr-ujMY2Hc3Q
western europe	[5]	[1.0]	iUAu3TUmywHHLINAKsZ0Sg
western europe	[5]	[1.0]	h4dJQcE48P32_qR0cB0dFg
western europe	[10]	[0.9999761581420898]	Us9pgxn1zKQyOYG4kZYi8w
western europe	[5]	[1.0]	lUhzRXhd-Yh5t8oJCcnrCw
europe	[16]	[0.5514001250267029]	w0tTpFdTLQiUrjin9sp0xA
western europe	[5]	[1.0]	qxwM1tT-Cd5k6NhisXpg_w
western europe	[5]	[0.6104536652565002]	kaBH6AWUtjfI1rKeYhyoEg
western europe	[2]	[0.9886959791183472]	htCh2S-x-s0O8ke3rjXldg
europe	[5]	[0.9841217994689941]	4QZgQIUZHkSluEoFotEteA
western europe	[5]	[0.9994029998779297]	s4i82-2E74lPhq4OZ18uMA
western europe	[5]	[0.9998465776443481]	JCmStCGCUkmW4QZFT4lz7Q
southern africa	[8]	[1.0]	aYGv6wmvUha9l3TOCGXkcw
western europe	[5]	[1.0]	U0Q2WYKw3kBqOmQHkkuy2A
europe	[1]	[0.9602704644203186]	3b_89T5hO_7aLPSkClAQ2Q
europe	[16]	[0.8611555099487305]	7W2cZvA0GRamh8U5967B5Q
caribbean	[5]	[0.9976765513420105]	Hd6DEvZVwwY-P6lHHRCylQ
southern europe	[13]	[0.9999979734420776]	jkFFROEemQeY2mjWCIxrZg
western europe	[5]	[1.0]	xXf5a3UGvN90KiHSSPYxJQ
western europe	[5]	[1.0]	CXtBOap-IkPRX_1vi4a3Pw
western europe	[5]	[0.9659446477890015]	EAqRdpy3R4oFK9lQqr-Ocw
western europe	[5]	[1.0]	9bybtMNmYYcFAY9FzmadBA
western europe	[5]	[1.0]	_jZShgdoT1sJLxl4_vZynw
western europe	[5]	[0.9999997615814209]	IAD0MY-yrU33C0N3BkV_SA
oceania	[5]	[1.0]	VLyBWmirERdFtdcXZJsdpw
europe	[5]	[0.8688998222351074]	hPHr6S78yA09_9bHmac_gQ
southern europe	[5]	[1.0]	1lpBZUMlJi9Un7DkXyCBiw
western europe	[5]	[1.0]	8CsnbvfNKgOQB-V9Q3s48Q
europe	[9]	[0.9999998807907104]	fTAkursbKvYThWfcDUopXQ
south america	[5]	[0.9999973773956299]	Z4n8zIJPtVv7Jrn7wM91yA
western europe	[5]	[1.0]	ab8Y03_tKkjYFiFWmL5xNA
western europe	[2]	[1.0]	wMiLkfJ3gibstHwjBS_D3g
southern europe	[5]	[1.0]	TD88tR3NkG2kZm6VHaGiJg
caribbean	[18]	[0.6403704285621643]	2z_a6WNyFLHp5Y2ykxWY_g
southern europe	[5]	[0.988038957118988]	9dj1K0wCiyeJvZ3tk9-C8w
caribbean	[5]	[1.0]	ca7ftO5S4y0wyxsEjVtY9w
europe	[5]	[1.0]	Iva_7nyAFMLFbZ0VJ_4xvQ
western europe	[5]	[0.9932200908660889]	UCKiLH4hfO3ER1YtkL435Q
southern europe	[13]	[1.0]	iG09GZwvIF8cPr-5wEtgFA
western europe	[2]	[0.9996480941772461]	CFJn_JeOF5hFlE50DDscJg
western europe	[5]	[0.9951317310333252]	dcxyOA54g1mSbHFgy-FSSA
europe	[5]	[0.9999376535415649]	Yx24FvYNJBy-9BszOYyO0A
western europe	[5]	[1.0]	fpkDfj-nJgbLDfV0wC4g1A
caribbean	[8]	[0.9991099238395691]	gy2H7XAEbkpS2tHtG3mPwg
southern africa	[10]	[0.9999988079071045]	wJgK9w2jJgfnm7qX2ONByw
western europe	[5]	[1.0]	hEavQkH5n25MWER-9Fe8mg
western europe	[5]	[1.0]	C7KVq6OFHIUMRXeSnk3YvA
europe	[9]	[0.9999998807907104]	xXkYA2srftN2RgZ3YqDVeA
western europe	[2]	[1.0]	HapZelbMvDu0el-d291pJg
south east asia	[7]	[0.7220567464828491]	bKTZC3DweK4cdRi9mE5D6Q
western europe	[2]	[1.0]	wFdU88hGuEWMUPzkMfU5yA
europe	[5]	[1.0]	6pJZqs6JVDcWWFBHJdE6rA
north america	[5]	[0.9269326329231262]	dU-QUXLk7_U_stzoj92XYA
north america	[17]	[0.8052725791931152]	7oI684i_L5aRRv4g6--eWQ
east asia	[5]	[0.9857088327407837]	hcg2kVe96JNhn_Q2i06x1t
north america	[5]	[0.9999074935913086]	BWxMhtOSbw5SiKDO_L_Xjg
north america	[13]	[0.9999988079071045]	wbJfR19Jx4p-czp-BZaqZA
west africa	[18]	[1.0]	8DH3OWPtqIf9w_F-xUkTqg
north america	[11]	[0.9999995231628418]	jiCPjdUJgYGFFjj8kBt4tw
north america	[12]	[0.8337844014167786]	A89UtKontcbidKbQuOoDfQ
baltic	[3]	[1.0]	vzTlfyQRc56p72H5IO4CHg
eastern europe	[7]	[0.9296761155128479]	vIPEi28zOoyxBG2cEtw-Bg
north america	[17]	[0.8867676258087158]	Bey89WWGDSUFCti6klp7Vw
oceania	[5]	[1.0]	dNfQCgfO5wiazbuV70abrw
north america	[13]	[0.9999229907989502]	B0Q13j5gSXRz84S-wwbwAA
middle east	[8]	[0.9999854564666748]	C02uEq_nMOvD1Ri4ezVJ_w
north america	[17]	[0.9995788931846619]	70ABVWHkSWVwKtJYOnay_g
west africa	[10]	[0.6279272437095642]	Z0lUEA3my7882eKG_sHRFg
north america	[12]	[0.9999703168869019]	zLqML0QOv-LIeRPW9RIKvw
north america	[18]	[0.9964547157287598]	nhaMevI1qx1q_m7yh-lPAQ
north america	[12]	[1.0]	jTIJfV7lGKbISM_jF6oQFg
east asia	[7]	[1.0]	rl5pIpsAxiCiSrADT4lORg
north america	[13]	[0.9998862743377686]	_SqYfobN8l2R9IFZuzRELA
north america	[7]	[0.9999986886978149]	3Q2QjALL9tYgNJr93VGC3w
latin america	[17]	[0.9999107122421265]	2q-8V-KhbZt0Ij3BhdtI1A
north america	[8]	[1.0]	k9XyZnBUGUiwRkdEm3DkiA
north america	[8]	[1.0]	Ixh_Tt8jgB7_BQ9CsYOe6Q
north america	[13]	[0.9999947547912598]	s9Yx_AasiBhzEEjfgUREZA
east asia	[8]	[1.0]	JQTApLC28l_JWWvK6l_pvg
north america	[7]	[0.8513930439949036]	l-BNVggBMurwC9qnJeGjEA
north america	[16]	[1.0]	5Zi86aiJ0AFZJgGu6ml5lA
north america	[2]	[0.9999997615814209]	bZT7AYZEWYuWEi0ZDKC4ug
north america	[13]	[0.9999021291732788]	7mdSG46eHOAFOBpHPvUsJe
north america	[8]	[1.0]	-njmjmMUtlNIHXv1GgYJnw
north america	[1]	[0.9989400506019592]	qrwlJlHM3Lm2P3a33HSNww
north america	[17]	[0.5493356585502625]	s40zeKkox1vq7D3H8s9B1Q
north america	[5]	[0.541893482208252]	U6tsqpPSKTnS45uUS34ZuA
north america	[6]	[0.8782210946083069]	_z2S8YkmIh_G-nghLkksZg
north america	[13]	[0.9982811212539673]	3zGrJUwIirvAcJay6jR0og
caribbean	[3]	[0.9999388456344604]	6v8nFoVTQ3Vst85bOj8wsO
north america	[5]	[0.9998465776443481]	92y4uB2IF-hHWzm3kzc_nA
north america	[7]	[0.9953415393829346]	yXsKVniyMD3apK4o83rk_Q
north america	[3]	[0.6973109841346741]	7rn5jwbDE-9QWDRMfrY8LQ
southern africa	[17]	[0.9999982118606567]	C1vKyVdVpAPteOG8kXyGKw
north america	[17]	[0.9885627031326294]	4i1EzhxPk5vXMDvPI6kv9A
north america	[0]	[0.703192949295044]	2Ur9fcA7Rj3fm_DivmqY3w
central asia	[17]	[0.5525850057601929]	7B5Mj-P7i0Gl0PiBmGH72Q
north america	[12]	[0.9998866319656372]	Tnc7ZEUDhAUNevlJIni4nA
caribbean	[2]	[0.999472439289093]	xqP4K0iCo-jK6BdivWt6Gw
north america	[5]	[0.9992647767066956]	w0_EIcJeFXWadAA-ydKyZQ
southern africa	[17]	[0.9983749389648438]	B1KLBSad4Z__3sNaD_YnHQ
north america	[17]	[0.9999829530715942]	-dlvE4MrEkm1lxWsITIkzQ
north america	[7]	[0.7592945694923401]	r-OYnIrbhU_fEvTgzzyuYg
southern africa	[17]	[0.9978637099266052]	TWgA4xtUQiqRY7VVlglUMQ
north america	[12]	[0.999996542930603]	nVb7kD-kRPkyHluYC8acPg
north america	[13]	[1.0]	_wuYO9ZeDcj-mC9hYqmkiQ
north america	[8]	[0.9939124584197998]	TjLFr1mki7RslGEVVfHMVE
north america	[2]	[0.614387571811676]	yNDjNaRx37uqEY9bn3mTTA
north america	[7]	[0.5108345150947571]	j5NZs7jIf2mBh22xEPwqlA
baltic	[8]	[0.9667510390281677]	I2HeVr5V4DwKc9j9Zl6lAA
north america	[13]	[1.0]	Wi6bIZE1l45zo05Stw8OLQ
north america	[8]	[1.0]	YYE3CARUaHmIK9LAi_apig
north america	[18]	[1.0]	1vmrip7kV_BIzJpjS-Fixg
north america	[17]	[0.9996600151062012]	0z6z5kG99ODFGGvIvCedlA
africa	[8]	[1.0]	2_lT3LNAmYPaLHRhvZa8yA
east asia	[3]	[1.0]	HqGyWE_EOYLjJ2AxGPnZ3D
north america	[17]	[0.9455912113189697]	-uksBicq_ltB2cvyxJ0gnw
north america	[8]	[0.9999998807907104]	lPBJOrT-p5dcgXIXfv_gyg
north america	[8]	[0.9999873638153076]	ddj6tXDxWs7KIxbB_jhUVw
north america	[17]	[0.7104207277297974]	W86CH8BqTNSQ9rRWF43keQ
north america	[5]	[0.9836199283599854]	Eu0OfREys-DsZ66F8wnh5w
sub-saharan africa	[5]	[0.827130913734436]	HOP8Sf81yrRA5Co2i3boSg
south america	[13]	[0.9999860525131226]	_yMdVNb_gDkPsOIUzKgPMQ
north america	[8]	[0.9999990463256836]	iLL34X7a8cSKIztnrihGPg
north america	[8]	[1.0]	xNc1W80zYv9285peaE95hg
north america	[17]	[0.9998449087142944]	AyTYIAFkEFkOB95YEINEaQ
north america	[13]	[1.0]	D42shE5EtIfs3JsUl_p_jQ
southern europe	[13]	[1.0]	keFsklrycQiwGx7K1AovKQ
north america	[8]	[1.0]	jzp3Avcwk3gvUtCBwO6IvA
north america	[18]	[0.8995272517204285]	yuos_010jpJV-mtHbH9Euw
baltic	[8]	[1.0]	A6ND8w0Yp770VjyCFVDWYg
north america	[0]	[0.9999992847442627]	ae6-dY-RBAXF6A8IqseeFQ
north america	[0]	[1.0]	yhwcXHOckPqBSQpo1PbGdQ
west africa	[8]	[1.0]	WnSffpLE1lSu16ZLbUQXyo
north america	[18]	[0.9999958276748657]	2-bC19z9CqdvJkm56lzxyw
north america	[17]	[0.8076841235160828]	XxYMty86xLbXariyr-n2pg
southern africa	[17]	[0.8279911875724792]	_gBfIEzEb6E1l4UhE4q1HQ
north america	[2]	[0.9988844990730286]	6hN7cnc5cmK_MUTrfROzRg
central america	[0]	[0.8150452375411987]	fcasDW4L9MKesyjR7qD7XQ
southern europe	[5]	[0.9945013523101807]	7mMHa2ilBrgVA-Z-cfczN5
north america	[17]	[0.7340763211250305]	3XcogbDq4wIQiGHc_a1gQQ
north america	[13]	[0.9999970197677612]	bwiXT6g5Y1bBQHDNzNCs_ka
north america	[1]	[0.994523286819458]	9Yyl4nUO3JVMrxFEsW-xmw
north america	[8]	[0.9516982436180115]	aJvfsDr0m4WCf2Y6YA9qSA
caribbean	[5]	[0.9960029721260071]	_Te1lGnhGzdNeSEr7I3RBg
oceania	[7]	[0.9999983310699463]	eQ1tBjcOT8luK-WU6zxhbw
eastern europe	[8]	[1.0]	a76ObNrfzGlINbGcB6HVhw
north america	[13]	[0.7163898944854736]	n1j2uKGO-CJmyt6xTpp8IA
oceania	[8]	[0.9647843837738037]	2TC7soN5FiB6DH85NlRkLQ
north america	[8]	[0.708475649356842]	kU9Z39gZobjvnuKTdQ0BlQ
north america	[9]	[1.0]	CKk8rgBZml4j2BycRvgBxA
north america	[4]	[0.9999760389328003]	91jlXoJQnbnuE8_xPfGx8g
oceania	[18]	[0.9487893581390381]	f86EG72P52rVT0Kj-ljLXg
oceania	[8]	[0.9846988320350647]	J3HZR0JHlQyWGpem6YKUXA
oceania	[8]	[0.9804428219795227]	UNhy15jyXC5B3QiYb2ilHw
oceania	[3]	[0.9984915256500244]	dp-93muH15yKFPftuBStLw
oceania	[17]	[0.9998505115509033]	_LZrMmLdkkuRqcj1d7tgTg
oceania	[8]	[1.0]	yiWE3SUxM1CGM5FSHUXygw
oceania	[17]	[0.9929115176200867]	bzAMxjAzb_4pYjYm4PDsiQ
oceania	[3]	[0.5943158864974976]	AS23iQRg0kxz0fHqb5AS0A
oceania	[3]	[0.5196039080619812]	3WTrtQfaDbEuyhoWzXXDfw
oceania	[17]	[0.9997785687446594]	n-lFcCC7hVbQFOiBFrvuQQ
oceania	[17]	[0.5536067485809326]	mLlP8XjfVoKECAjOS8Sxjg
oceania	[3]	[0.9928083419799805]	XfTUw68WVlArcD0NFGHi1w
oceania	[3]	[0.8657959699630737]	8jERBATDv6p41D5Kr7IUSA
oceania	[17]	[0.9633097052574158]	2tD2VMzbeQiTWH9gNjFy3Q
oceania	[5]	[0.9992936849594116]	fb3lC391j_axIygSjuZ2Zg
oceania	[15]	[0.9999951124191284]	Dok3T5Y3lbEj5JJkpXtEEg
oceania	[18]	[0.9825208783149719]	A_WOQljXBoFHhMb-dYmGug
oceania	[3]	[0.9993911981582642]	CmtwRk7MsRQB_fw5i9ZkMg
oceania	[3]	[0.9984128475189209]	8Bx00Fedjl86X4j03aOnSA
oceania	[15]	[0.6484634876251221]	ngQ0jGWRFo4VbJH0xiBQ5A
oceania	[3]	[0.9999730587005615]	fExIRen2_4squ3bZi85bNQ
oceania	[17]	[0.9967690706253052]	VBHwpSEIrzLVZzoqWSid3A
southern europe	[0]	[1.0]	8uFQOohXdWCzO-V4Vb3ckA
oceania	[7]	[0.9999916553497314]	0WeVm6pMYHkKRUE0T_GDlQ
oceania	[3]	[0.9985373020172119]	V-1e2PubALPZxtfei_UCKA
oceania	[6]	[1.0]	ImPSl9OCl757t7NOyvhmpw
oceania	[3]	[0.9734741449356079]	zTFhobQzY0M8nH8En5pNvg
oceania	[8]	[0.9999446868896484]	05ab-xsie3GQM6SdQlFrrw
oceania	[3]	[0.9996045231819153]	UIuB2ixZxMUhWW2m7VyXXQ
oceania	[8]	[1.0]	8aGOZl4H-NRXr37C36i_JQ
oceania	[8]	[0.9794151186943054]	ys-KKfLm9faxpd6i-q9KFQ
oceania	[8]	[0.9861264824867249]	BQxlmA3-C0KMyZCck_4Lmg
oceania	[8]	[0.999998927116394]	XGJaj7nm-yVDXOZ9lRpM8A
oceania	[3]	[0.9999992847442627]	vlcgijffTPcbByGxpknrMg
oceania	[3]	[0.9991714954376221]	6v2B1FSiparahNUSke4jhw
oceania	[17]	[0.9910994172096252]	EF9Nhxhj4pYGnNZ38zejGA
oceania	[18]	[0.9108820557594299]	UIt2uIleUwpRc0DQ8XTFXQ
oceania	[8]	[0.5052197575569153]	W2tKDF_2WI7TNrSzsGMQYg
oceania	[8]	[0.9988666772842407]	BYtHxtPEfdOosdYqdmM_Kw
oceania	[15]	[0.6356151700019836]	HRqqQPYe7dHCu815NW_nEw
oceania	[3]	[0.9999998807907104]	INewtvEM1929u8FpbLLzjA
oceania	[18]	[1.0]	3n993dGIZJnNUg-8TN-4CA
north america	[0]	[0.9894253015518188]	xKHxX3ZT3wFGtjlpg4d8sQ
oceania	[18]	[1.0]	C8QLmcI10LldTY1JANDq2w
oceania	[8]	[1.0]	y98Fw_h5D78InWsgiHuMag
oceania	[8]	[0.8915878534317017]	vlob3-QzPNhO2kt_2kx92g
oceania	[8]	[0.9999994039535522]	4KnSd7sCf4FqVWpobJrE9g
oceania	[9]	[0.9997522234916687]	bOu0BvfaKFC5RRKdcGV_7w
oceania	[8]	[1.0]	T2jqpdixq3cMyPiwT94_nQ
oceania	[8]	[1.0]	1M1HPNGef9Qlg1tKuJHg0A
oceania	[8]	[1.0]	xd3CBIOvDG9KQr4FlmbkfA
oceania	[17]	[0.9999667406082153]	2UoqiqCDj0OZyoZWys1Uag
oceania	[18]	[0.9999951124191284]	CBzn-1uNN2GMDjO104yaNg
oceania	[3]	[0.9999790191650391]	WT4t_jTZgTRFw0NvY8FbRQ
oceania	[8]	[1.0]	7jw5nhvj0nUi7_kF9oi-0A
oceania	[3]	[1.0]	eOWAaY_QitpcFdSkeCpn7Q
southern africa	[17]	[0.999997615814209]	EubQhXpdvMsnV3I0zTSAlg
oceania	[8]	[1.0]	ldRMntveozboc1zJgpRk1w
oceania	[3]	[0.9999985694885254]	lgdLtLAq4fUUx3W0-_Pusw
oceania	[3]	[0.5681897401809692]	edJ1bbO6uv99GKn37YLwOw
oceania	[8]	[0.9216005206108093]	XYZanLUcIKmsriAZdTZ_aA
