Gold	Predictions	Probabilities	Filename
Belgium	['Belgium', 'Netherlands', 'Germany', 'Hungary', 'France']	[1.0, 2.200057664504079e-28, 3.435160113171803e-35, 3.4219161992410946e-39, 2.2199370271833752e-41]	0Dy9K48rHA9XJ8f9oW3mTn
Belgium	['Belgium', 'Netherlands', 'Latvia', 'Denmark', 'Poland']	[0.9999896287918091, 9.888082786346786e-06, 5.000359806217602e-07, 9.620760854645027e-10, 2.6070834727165426e-11]	cPUAq98nk9OhpQ9OQWKXxQ
Belgium	['Belgium', 'Suriname', 'Netherlands', 'China', 'Finland']	[1.0, 6.583628089238643e-38, 1.1210387714598537e-44, 0.0, 0.0]	-OzJEvt4c6hPajN7RkI-6g
Belgium	['Belgium', 'France', 'Ireland', 'Netherlands', 'Suriname']	[0.671470582485199, 0.328529417514801, 9.783419429134407e-15, 1.922325350566843e-19, 5.9506813346413275e-27]	liWtRwflp2KTI3WFPM4_yQ
Belgium	['Belgium', 'Netherlands', 'Germany', 'France', 'Denmark']	[1.0, 9.437637710175625e-14, 2.681021273111023e-16, 2.0715279111824792e-23, 1.0560686042029043e-24]	xd49y1AkOh9QryHvLY9Etg
Belgium	['Netherlands', 'Belgium', 'Suriname', 'Denmark', 'Germany']	[0.9999998807907104, 8.336657231211575e-08, 4.2492929314130734e-11, 1.3300606542939363e-39, 1.3732724950383207e-43]	_h-jwFkYUfXE69_ZeWHWag
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 1.401298464324817e-45, 0.0, 0.0, 0.0]	dU5z-ursASnMurOWr1ZPhA
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Germany', 'Suriname']	[1.0, 1.4660234492840617e-14, 3.5558598238256253e-22, 1.5964108719197956e-23, 2.0661461078979525e-30]	9RXfCEvVFrfw2MgY05U7cg
Belgium	['Belgium', 'Netherlands', 'Suriname', 'Denmark', 'Sweden']	[1.0, 3.930404515237058e-18, 5.837897471183074e-36, 8.646950394855219e-40, 0.0]	9TZneXuTmtDVUVAChr3ZaA
Belgium	['Netherlands', 'Belgium', 'South Africa', 'Finland', 'Australia']	[1.0, 1.3854114057010728e-21, 0.0, 0.0, 0.0]	UUb1jlMlk1ZoPvJcc86KoQ
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Germany', 'France']	[0.9992332458496094, 0.0007667778409086168, 1.266443876888064e-31, 6.110594905545074e-37, 3.853570776893247e-42]	T7_L9XKbqVk0Cr3m3miV94
Belgium	['Belgium', 'Slovakia', 'Germany', 'Poland', 'Lithuania']	[1.0, 3.2251920578652005e-10, 2.6284177742294523e-13, 8.400699129113964e-15, 4.8505725536321734e-17]	W6hLVsoe7wnI47_XxzHA5H
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 6.028953239143722e-38, 0.0, 0.0, 0.0]	n8cSH_VXFJWp6jXkLVx8nA
Belgium	['Denmark', 'Belgium', 'Netherlands', 'Estonia', 'Latvia']	[1.0, 2.6341103777360875e-12, 9.509594717585501e-13, 7.907344484053835e-13, 1.1636110831600046e-21]	rEjsRueF60hxtSamrItLwg
Belgium	['Germany', 'Belgium', 'Denmark', 'France', 'Netherlands']	[1.0, 4.9568389393073176e-09, 5.110244395288175e-25, 3.1492572762343137e-31, 3.1311762408998278e-34]	wfLFvNRJ-KCcsS6l8OIGog
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 1.3046088702864047e-42, 0.0, 0.0, 0.0]	jDNHn92_0P9qVSfua3uXwQ
Belgium	['Belgium', 'Netherlands', 'France', 'Switzerland', 'Finland']	[1.0, 1.8460341588699691e-10, 3.010492472697916e-16, 7.567011707354012e-44, 0.0]	T4OR8DUgkJhDWg6i_Fn1ZA
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Germany', 'Oman']	[1.0, 7.372395789943688e-28, 5.790760896105517e-30, 9.418789288433274e-37, 0.0]	USSlwmFwID2gnF8_-_vdjg
Belgium	['Belgium', 'Netherlands', 'France', 'Germany', 'Finland']	[1.0, 5.70556981450395e-24, 4.029041230686344e-29, 1.9559748453102843e-34, 0.0]	WKosa0UVfl0PWbiqzEv_bA
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 2.382207389352189e-44, 0.0, 0.0, 0.0]	0N0MKwiy2dMDtxB0N0TvHw
Belgium	['Belgium', 'Germany', 'Suriname', 'Netherlands', 'France']	[1.0, 4.9881814309519004e-14, 6.379366464511405e-31, 2.8107879087435207e-33, 1.401298464324817e-45]	VK1LTiU1UP06qLG6hy3n27
Belgium	['Belgium', 'Netherlands', 'Denmark', 'Oman', 'China']	[1.0, 2.8440281444476176e-26, 3.1193809615197768e-37, 0.0, 0.0]	cznsycYTzQZiqjCNXSi9VQ
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	APZOvS5MmxdPPyGJsjehbg
Belgium	['Germany', 'Sweden', 'Estonia', 'Portugal', 'Czechia']	[1.0, 3.142425208935151e-11, 4.171344530640858e-14, 7.039518977858232e-19, 2.173042243268017e-20]	16rDYSLZvi_Lh7z9InjDPQ
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 5.5351289340830274e-42, 0.0, 0.0, 0.0]	Idd071SUTXesdB4FT7-hwg
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	WLxq1RsEDGBlyc_q0j_sGA
Belgium	['Belgium', 'Hungary', 'Slovakia', 'Portugal', 'Bulgaria']	[1.0, 1.2289644872285109e-17, 3.736746008046038e-21, 1.451327486981637e-22, 1.0580617086115994e-22]	Zf8wA9LbWUg_IgFLkkL8Tg
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 7.227384801744563e-10, 0.0, 0.0, 0.0]	iwvxSGCB3-n5vRvQCeWn6A
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 3.9673848705585957e-26, 0.0, 0.0, 0.0]	2DEBzZgjKTs5pd_tCoxxGA
Belgium	['Belgium', 'Netherlands', 'Suriname', 'China', 'Finland']	[1.0, 3.596748800928508e-28, 5.044674471569341e-44, 0.0, 0.0]	7pbYtjGk6s5WRaDun4dbtQ
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 7.132323318526597e-39, 0.0, 0.0, 0.0]	0yEZEy3a8jxudxmDsAWfgg
Belgium	['France', 'United Kingdom', 'Belgium', 'Estonia', 'Germany']	[0.9418466687202454, 0.058153316378593445, 4.5167120911460135e-12, 1.6546551844162414e-18, 1.6106188803384856e-19]	1Cbe1H5CwJk7wjS0g4TdAg
Belgium	['Belgium', 'Netherlands', 'France', 'Finland', 'Australia']	[1.0, 1.241550439391788e-42, 5.226843271931568e-43, 0.0, 0.0]	TxV0Q_yjVZiTiPQFy38Ouw
Belgium	['Belgium', 'Netherlands', 'Uruguay', 'Portugal', 'Morocco']	[0.9920098781585693, 0.00799007248133421, 1.3136327581264595e-08, 8.129076575315553e-23, 6.305349807991992e-26]	nyq3lmZUpeVGuWtfUJxDdQ
Belgium	['Belgium', 'Netherlands', 'France', 'Finland', 'Australia']	[1.0, 5.752458963050819e-35, 1.2647319068897468e-36, 0.0, 0.0]	Sq2HbMwNFncMNb2TguDi_A
Belgium	['Belgium', 'North Macedonia', 'France', 'Serbia', 'Spain']	[1.0, 7.294098674773058e-20, 1.1454774089473617e-24, 3.2687082379982066e-30, 3.426970108830063e-33]	0DLXS93ImlG1mNcByf5ywg
Belgium	['Belgium', 'Netherlands', 'Denmark', 'Germany', 'France']	[0.7402682304382324, 0.2597317397594452, 4.812812299305167e-23, 8.934188980067253e-36, 1.3027848281013624e-37]	Xwgxl8jQ8o8_soDUFcrFiw
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	3rDgOZ9rWGFswkybJ5Pgqg
Belgium	['Belgium', 'Netherlands', 'Denmark', 'Germany', 'Oman']	[0.9999773502349854, 2.268424941576086e-05, 1.2249918074589487e-23, 1.4070619983410556e-29, 0.0]	kjH2sGpPVHucCRFTIat2sg
Belgium	['Belgium', 'Netherlands', 'Suriname', 'China', 'Finland']	[1.0, 3.039932849785193e-15, 2.2044627798016e-33, 0.0, 0.0]	XkHCGyMNMaj-3QVii0hSPg
Belgium	['Netherlands', 'Belgium', 'Germany', 'Denmark', 'Latvia']	[1.0, 2.2194077686776836e-09, 2.628610877200763e-26, 7.678145428578866e-33, 3.867583761536495e-43]	cuJLqRZnNCQaZOAUzhHGfg
Belgium	['Netherlands', 'Denmark', 'Belgium', 'Germany', 'France']	[0.9999951124191284, 4.854370672546793e-06, 5.430721206067801e-09, 9.411449992545364e-15, 4.6857468180353284e-20]	46oO0mOThz_6N-5SOZZ4kg
Belgium	['Denmark', 'Netherlands', 'Sweden', 'Belgium', 'Norway']	[0.9998205304145813, 0.00017952249618247151, 8.359921540282488e-19, 9.903975485429204e-26, 3.8030882551603915e-26]	380g2PWMASxaZMu82oyzdg
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 6.932394914685914e-33, 0.0, 0.0, 0.0]	dWnLV3CmU-39a0e3zxtLbA
Belgium	['Belgium', 'France', 'Netherlands', 'Finland', 'Australia']	[0.9997697472572327, 0.0002302325883647427, 1.7193536991098566e-38, 0.0, 0.0]	5-wPb2cypCyhq3g8xImk-g
Belgium	['Netherlands', 'Belgium', 'France', 'Algeria', 'Uruguay']	[1.0, 2.723178349484101e-09, 4.1626496113126704e-29, 1.033740194012842e-31, 1.6124802431431458e-34]	VnMt6azAaK1rmQ6pDV8dYQ
Belgium	['Belgium', 'Netherlands', 'Suriname', 'Denmark', 'Germany']	[0.9967052340507507, 0.0032947403378784657, 1.807435486777658e-26, 8.316164559468604e-31, 4.832566088737737e-38]	VUM3NILrkmybR9_l7h11qg
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	YEQ5xniVHvRHABidwU8szw
Belgium	['Netherlands', 'Belgium', 'South Africa', 'Finland', 'Australia']	[1.0, 9.324202007928638e-21, 0.0, 0.0, 0.0]	gRRSkdMdW4kLHw0BGmwBSQ
Belgium	['Denmark', 'Belgium', 'Estonia', 'Norway', 'Latvia']	[1.0, 5.326393145987929e-11, 1.4543880965008082e-13, 1.504763026386426e-20, 9.034963970306925e-25]	iq8OUT80ZfvyHngs86vMMw
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	CewJtw_-EpFVocMV0hG4tg
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[0.9999773502349854, 2.262755333504174e-05, 0.0, 0.0, 0.0]	04QyEqxx1cajgRmtfFACRA
Belgium	['Netherlands', 'Belgium', 'South Africa', 'Finland', 'Australia']	[1.0, 2.7333341685541527e-18, 0.0, 0.0, 0.0]	VdPIKWVmDg3zkD5AT7SMaw
Belgium	['Netherlands', 'Belgium', 'United Kingdom', 'France', 'Uruguay']	[0.9999996423721313, 3.1967420000000857e-07, 5.447047674023153e-11, 4.494784993286155e-15, 3.745155762694583e-18]	VqEfVFixNNDgYutMv7c4-w
Belgium	['Netherlands', 'Belgium', 'Uruguay', 'Oman', 'China']	[1.0, 6.376667512755216e-23, 1.5414283107572988e-44, 0.0, 0.0]	-yt8iKItBxpgZ2_c10OfAg
Belgium	['Belgium', 'Netherlands', 'Suriname', 'Denmark', 'Sweden']	[0.9978505373001099, 0.002149472711607814, 6.965678385770478e-28, 2.131625796663161e-38, 0.0]	WGH9-jK6jQTtJHkwa_C0WA
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 7.99861486984538e-32, 0.0, 0.0, 0.0]	-Pbq0nElbbj_oUtVDDMYLg
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 7.042405532244229e-23, 0.0, 0.0, 0.0]	3L-htgP1XQ6rft5AR5Bj5g
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	AoAXHN5WUO-M7GtyKc2o2Q
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Germany', 'France']	[1.0, 1.7709730570913962e-08, 5.572017196061564e-32, 2.3337120570943568e-33, 1.6939954958316423e-34]	Y2kCfQE6B3pzEjR-z2s_RA
Belgium	['Belgium', 'France', 'Netherlands', 'Germany', 'South Africa']	[1.0, 3.5421373311419537e-34, 4.203895392974451e-44, 1.1210387714598537e-44, 0.0]	_VDhMeAGVLLny9XQdFnjn1
Belgium	['Netherlands', 'Belgium', 'Uruguay', 'Lithuania', 'Denmark']	[1.0, 2.3454422404256547e-08, 1.3266447940196713e-09, 1.4039778781941735e-23, 3.681207975730726e-24]	ZD1pI_8Um5-rubjpH87sqw
Belgium	['Belgium', 'North Macedonia', 'Bulgaria', 'Serbia', 'Romania']	[0.9957412481307983, 0.0042420742101967335, 1.6769705325714312e-05, 2.48200016095268e-10, 3.504705206602843e-13]	ZNjJfhmeKwiGkEHxFMF7hA
Belgium	['Denmark', 'Sweden', 'Belgium', 'Estonia', 'Netherlands']	[1.0, 1.7180694367180394e-10, 1.247928770750314e-15, 3.6331204518405427e-16, 3.254643242919772e-18]	dzSPgfq10mzxGUrXpfr7aQ
Belgium	['Denmark', 'Netherlands', 'Belgium', 'Norway', 'Sweden']	[0.9810685515403748, 0.018931502476334572, 4.726020329205369e-16, 1.2903532879687064e-22, 1.4824094634242437e-28]	12VflGcWyNyHNBGWrNS3-A
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 1.2611686178923354e-44, 0.0, 0.0, 0.0]	_r48Jd1wOgx5ks9AVZbbwg
Belgium	['Belgium', 'Germany', 'Austria', 'Switzerland', 'Hungary']	[1.0, 4.578594392512514e-09, 1.91368324181998e-13, 1.8188372887105073e-16, 8.466985207175846e-20]	_hzLSXFi2IuNWQRkWgtRYA
Belgium	['Netherlands', 'Belgium', 'Germany', 'China', 'Finland']	[1.0, 6.648477341580916e-12, 3.877673110479634e-41, 0.0, 0.0]	-rH5nxoT8SzGVBeKrwh4aA
Belgium	['Belgium', 'Germany', 'France', 'Netherlands', 'Poland']	[0.9997848868370056, 0.00021493789972737432, 2.798901164169365e-07, 3.119074751172078e-17, 7.986783330080629e-37]	2CWVThrEkNqJz5AcbIo9cw
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 3.9492784327794335e-27, 0.0, 0.0, 0.0]	gz5l7woSV5UjfgxIC8Q6NQ
Belgium	['Belgium', 'Netherlands', 'Denmark', 'Oman', 'China']	[1.0, 4.807084558631157e-16, 5.605193857299268e-45, 0.0, 0.0]	-NDZjhVgylgxIGq77LMatA
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	YfvDCpc3Rbk87D2YkTjHXQ
Belgium	['Belgium', 'Netherlands', 'Germany', 'China', 'Finland']	[1.0, 1.7947523521660935e-27, 8.482692677573137e-36, 0.0, 0.0]	5tNUZRADU6UfNXdu1LD-IQ
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	-ekfmVQXPUigzZgL5ftyxA
Belgium	['Netherlands', 'Belgium', 'Suriname', 'Germany', 'Finland']	[0.9999998807907104, 7.108558719437497e-08, 2.4033392812446603e-27, 2.9987787136551085e-43, 0.0]	zMvifYmlZb9adTI62giqrA
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 7.146622168056567e-44, 0.0, 0.0, 0.0]	X1bJSuRsEuyQ4gAqY-LwJA
Belgium	['Czechia', 'Belgium', 'Estonia', 'Hungary', 'Slovakia']	[0.9949007034301758, 0.003264178056269884, 0.001830926164984703, 3.0111718842817936e-06, 1.0982894309563562e-06]	b2Y-vZV9YxCShJGFtNEqYA
Belgium	['Belgium', 'Netherlands', 'Italy', 'Malta', 'France']	[0.9999994039535522, 6.466863169407588e-07, 3.339072223874564e-20, 1.334216857307126e-23, 2.7263687166474627e-31]	X0iq7Lu6oBI3_y1CTC1vCQ
Belgium	['Belgium', 'Germany', 'Denmark', 'Estonia', 'Netherlands']	[1.0, 2.9637971214809304e-23, 6.879126554809331e-26, 1.0416005851468364e-33, 1.5349823378214046e-41]	emOQWvXQt8dOJ7pgRa9DIw
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	WsS1eBAJULdeYOtHN0memg
Belgium	['Germany', 'Denmark', 'Netherlands', 'Poland', 'Belgium']	[1.0, 8.461190516437722e-16, 2.095263713999188e-26, 3.9471226430961836e-28, 8.024478143571946e-30]	wUQo5XliDa7gPM0ZO4ssqw
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	TCs3Em150DnRgTmSgOcVJw
Belgium	['France', 'Belgium', 'Netherlands', 'Germany', 'Italy']	[0.9999982118606567, 1.7868643453766708e-06, 1.227770741527505e-19, 3.7029958559467895e-28, 3.397908949741859e-33]	Sv282zjScxccZEmtZpBm_Q
Belgium	['Belgium', 'France', 'Germany', 'Netherlands', 'Denmark']	[1.0, 2.7977632317307846e-22, 1.7846642968963362e-39, 1.0104763226246256e-41, 4.484155085839415e-44]	mLOva9lGNHoEJPOZx7O3oA
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 4.291167166612167e-14, 0.0, 0.0, 0.0]	0MBYLqbfu7RC2rO_--xbqg
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 3.723250019711039e-42, 0.0, 0.0, 0.0]	5j5BJjE3-xbrLjgJsZ3Ktw
Belgium	['Belgium', 'Netherlands', 'France', 'Germany', 'Denmark']	[1.0, 1.7522806688215807e-20, 2.0612116586592226e-36, 8.048525885665306e-40, 2.802596928649634e-45]	cKdXd0U-5qqJ2Lco874o_s
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Germany', 'United Kingdom']	[0.986028254032135, 0.013971677049994469, 2.9127258382999344e-09, 9.783106026943923e-15, 2.2777626034912453e-32]	zfoHme43Wicwnice3DtANA
Belgium	['Netherlands', 'Belgium', 'South Africa', 'Finland', 'Australia']	[1.0, 7.339620314150106e-28, 0.0, 0.0, 0.0]	CpY87DAut_xKu0dggV43mw
Belgium	['Belgium', 'France', 'China', 'Finland', 'Australia']	[1.0, 5.001983394587121e-19, 0.0, 0.0, 0.0]	YnyGeH7YPctx0ZjEDOUF8w
France	['Belgium', 'France', 'Algeria', 'Portugal', 'Uruguay']	[0.9999998807907104, 7.171311722231621e-08, 3.631717426788583e-10, 8.687197012094416e-14, 1.232051788938379e-19]	Y_pKJjLKuK_JE6atayrv5A
France	['France', 'Belgium', 'Germany', 'Czechia', 'Algeria']	[1.0, 1.3693509867684917e-11, 7.8715420465256615e-25, 2.594104683721957e-26, 3.5903088344005436e-40]	so8r1wDRS0H7N5WmvwIvAw
France	['France', 'Belgium', 'Algeria', 'Australia', 'Finland']	[1.0, 3.899016287389765e-39, 2.9915788421454076e-39, 0.0, 0.0]	UofuJ6OiFZdVBQixSxHVPQ
France	['Denmark', 'Belgium', 'Germany', 'Estonia', 'Netherlands']	[1.0, 4.791155472361197e-09, 1.3965099699319634e-16, 7.534905279325638e-23, 3.9428827275829146e-26]	2L2hR6FIUalYSq-52Byj4g
France	['Slovakia', 'Czechia', 'Hungary', 'Croatia', 'North Macedonia']	[0.9326780438423157, 0.05525952950119972, 0.012062465772032738, 8.949783691925006e-10, 1.3499786011283987e-10]	WT3E5Scxv_Ds9JbrYY1TrQ
France	['France', 'Belgium', 'China', 'Finland', 'Australia']	[1.0, 5.492105147592555e-38, 0.0, 0.0, 0.0]	khRtrlKrYwbg7oDtwlOP2A
France	['Suriname', 'Guyana', 'Dominica', 'Cuba', 'Panama']	[0.9998645782470703, 0.00013541331281885505, 8.173416804480027e-12, 2.7292606041384553e-14, 4.637324440458298e-19]	9w4kl8T5HYaI8SGkrDAyZg
France	['France', 'Portugal', 'Algeria', 'Belgium', 'Romania']	[1.0, 3.2132040274714913e-19, 5.755704859593313e-21, 3.306431262309315e-30, 3.985571452825545e-34]	iYVHXfjrhzOYXgLLN7cbow
France	['France', 'Algeria', 'Belgium', 'Senegal', 'Spain']	[1.0, 1.480744978469807e-27, 7.336655136115376e-35, 4.122444919735571e-38, 1.0110844861581426e-39]	VWeuEQjXaNVVUCdjOOrOsg
France	['France', 'Belgium', 'China', 'Finland', 'Australia']	[1.0, 5.355902860495883e-41, 0.0, 0.0, 0.0]	ZdNybl3ZmmJf1wC7aGcCTw
France	['Belgium', 'France', 'Denmark', 'Finland', 'Australia']	[1.0, 2.5548474834783025e-29, 3.41024058043634e-39, 0.0, 0.0]	sEWn9W2En0k8UyjHoRJZmA
France	['France', 'Belgium', 'Algeria', 'Australia', 'Finland']	[1.0, 8.047104378249709e-14, 5.026458936779645e-37, 0.0, 0.0]	ysK6Yqz5inY9YrQBrnHggw
France	['Denmark', 'United Kingdom', 'Belgium', 'Ireland', 'France']	[0.9166738390922546, 0.08332440257072449, 1.696428626019042e-06, 7.109970164703716e-12, 2.97549630063048e-14]	YvMK1SHfVbg3DKYSiibpPQ
France	['Belgium', 'France', 'Germany', 'Algeria', 'Finland']	[0.9977906942367554, 0.002209330443292856, 1.401298464324817e-45, 1.401298464324817e-45, 0.0]	iWSTaUS4qW_4RVfwAuQ4NA
France	['Italy', 'North Macedonia', 'Slovenia', 'Austria', 'Romania']	[1.0, 4.267078915267446e-19, 5.8663608652582375e-21, 1.8693761671282713e-26, 9.060149155892963e-27]	XNt01FQbMaryNfEc_q63fw
France	['France', 'Spain', 'Portugal', 'Italy', 'Croatia']	[0.9834834337234497, 0.016512632369995117, 4.0051081668934785e-06, 9.213061424873104e-10, 1.340478237545279e-15]	6BvZtIR791br5erLVMXxaA
France	['France', 'Belgium', 'Algeria', 'Australia', 'Finland']	[1.0, 1.1332692145149102e-23, 3.267407629266176e-41, 0.0, 0.0]	_d208zTFXnNYfvS2CtJqZQ
France	['Malaysia', 'Suriname', 'Panama', 'Laos', 'Brunei']	[0.9914320707321167, 0.008567888289690018, 5.2265102601697634e-17, 2.535873707269526e-17, 4.301192774307322e-18]	7W0f9O7wMRmEIJuAE9NPZA
France	['France', 'Portugal', 'Senegal', 'Belgium', 'Algeria']	[1.0, 7.263289668413077e-32, 1.1085786461355076e-34, 3.808659452581717e-36, 7.567011707354012e-44]	nwqQvWsW_a3PNqb2lHpDyA
France	['France', 'Algeria', 'Belgium', 'Italy', 'Spain']	[1.0, 4.158321983810798e-19, 1.0220305021641946e-19, 8.141706553952503e-23, 4.24063536720159e-31]	ZHT8bnAoIpqrgjdRtf5qZQ
France	['France', 'Italy', 'South Africa', 'Finland', 'Australia']	[1.0, 5.986347039595619e-42, 0.0, 0.0, 0.0]	984e1EQEsxIMPm5JT9aPZg
France	['France', 'Malta', 'Portugal', 'Cyprus', 'Greece']	[1.0, 2.5059034708396766e-12, 6.7343751518147174e-18, 2.1748191306213576e-18, 6.19993553317057e-23]	b1LAXur6WCNt7M0GsMEqrQ
France	['Italy', 'France', 'Malta', 'Algeria', 'Morocco']	[0.5473506450653076, 0.4526493549346924, 3.875319034373934e-24, 1.125942353313308e-24, 6.782750911498904e-29]	8JNkTguneNGthuiy1nlm7Q
France	['Ireland', 'Malta', 'France', 'Belgium', 'United Kingdom']	[1.0, 1.1271037295194447e-16, 2.16925840895347e-19, 9.501112191822863e-20, 7.261588227583983e-35]	UTVUJId9hJ6xWe4WdGPjtg
France	['France', 'Belgium', 'Algeria', 'Australia', 'Finland']	[1.0, 6.3413222951436525e-31, 8.404305227089411e-34, 0.0, 0.0]	2aVKafUpgyIklKJ9YkhEdA
France	['France', 'Belgium', 'Algeria', 'Australia', 'Finland']	[1.0, 1.9394379907829163e-32, 1.402786744635835e-34, 0.0, 0.0]	yBHLRbSow_OjuPCAVft_Ww
France	['Dominica', 'Suriname', 'Guyana', 'Costa Rica', 'Panama']	[0.9998987913131714, 0.00010123781248694286, 4.0980668858381364e-10, 2.4298092836034204e-20, 2.1158278405083434e-20]	6J773-8B56i0Kpv6kK75aw
France	['Switzerland', 'Belgium', 'France', 'Kosovo', 'North Macedonia']	[0.6219184994697571, 0.37666043639183044, 0.0012432403163984418, 0.00017777702305465937, 6.087507387064761e-08]	cjQ-F16FIeLSd4b_wO80tQ
France	['France', 'Belgium', 'Germany', 'Slovakia', 'Hungary']	[1.0, 6.383239765417139e-30, 3.017232132872109e-37, 8.533407384186372e-39, 7.44344520876985e-40]	WRsmElWSgNlZA-C9e5KM2A
France	['France', 'Algeria', 'South Africa', 'China', 'Finland']	[1.0, 7.877439410849057e-30, 0.0, 0.0, 0.0]	0mQRBMdHHRnlCUeX4jJAHg
France	['France', 'Algeria', 'Senegal', 'Morocco', 'Finland']	[1.0, 1.7125181287321723e-28, 3.3792426813147653e-37, 1.993964309449618e-37, 0.0]	ff5mTiDh2M6nmtuBzlYC7A
France	['France', 'Switzerland', 'Austria', 'Belgium', 'Italy']	[0.9993202686309814, 0.0006797806709073484, 2.7677525900025744e-21, 1.230982989833397e-36, 1.2919151240694105e-37]	vK1cc6gHphUJeW2hCVHWEQ
